,Source Function / Function / Call Stack,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,config
86,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",39.37,38.4,24.2,0.0,7.4,14.2,20.4,87.9,0.0,0.0,0.0,3.6,16.5,0.29897300456782455,b1024_gpu4_dataloader24
87,ImagingFlipLeftRight,36.495,89.2,3.9,0.0,9.8,0.8,2.8,18.6,0.0,0.0,0.0,7.5,5.3,0.27714045724416453,b1024_gpu4_dataloader24
88,_int_free,11.22,30.4,54.7,5.5,18.4,0.0,11.8,38.3,12.5,0.0,0.0,1.2,4.9,0.08520388903355326,b1024_gpu4_dataloader24
89,__libc_calloc,3.275,13.1,48.0,5.6,41.8,0.0,14.1,22.5,0.0,0.0,0.0,19.3,15.7,0.024870119125212736,b1024_gpu4_dataloader24
90,decode_mcu,2497.257,50.1,15.4,37.2,21.2,1.1,0.6,9.6,0.1,0.1,0.0,0.4,0.0,17.910062726820115,b1024_gpu4_dataloader28
91,jpeg_idct_islow,2264.292,84.5,12.1,3.8,5.1,0.2,0.1,9.0,0.0,0.1,0.0,1.1,0.0,16.23926241946142,b1024_gpu4_dataloader28
92,ImagingResampleHorizontal_8bpc,1109.511,93.0,9.7,3.2,8.7,0.4,0.2,17.7,0.2,0.0,0.0,0.0,0.0,7.957295386937312,b1024_gpu4_dataloader28
93,ycc_rgb_convert,948.881,85.6,12.0,1.8,4.6,0.3,0.4,10.1,0.0,0.0,0.0,0.3,0.5,6.805274038790479,b1024_gpu4_dataloader28
94,__memmove_avx_unaligned_erms,461.615,6.5,4.9,0.9,24.3,7.0,8.9,47.1,100.0,1.5,0.0,80.8,7.6,3.310653891706407,b1024_gpu4_dataloader28
95,jpeg_idct_16x16,419.725,88.6,13.3,0.0,6.1,0.1,0.1,8.5,0.0,0.0,0.0,2.8,0.0,3.0102232481537032,b1024_gpu4_dataloader28
96,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",270.485,6.0,4.8,1.4,19.1,12.3,15.4,76.9,100.0,100.0,0.0,87.1,4.5,1.939889773725307,b1024_gpu4_dataloader28
97,ImagingUnpackRGB,249.535,88.9,8.8,0.0,8.0,0.3,1.1,9.0,0.0,0.0,0.0,6.3,2.3,1.7896385924784903,b1024_gpu4_dataloader28
98,decompress_onepass,228.4,54.1,25.3,19.5,14.8,0.7,0.5,9.2,0.0,0.0,0.0,2.5,0.6,1.6380606108244822,b1024_gpu4_dataloader28
99,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",202.925,17.3,9.4,0.1,21.9,17.1,12.9,91.5,0.8,0.0,0.0,13.7,28.3,1.455356608807172,b1024_gpu4_dataloader28
100,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",152.67,100.0,5.0,2.0,12.5,0.8,0.6,21.6,0.0,0.0,0.0,0.8,0.0,1.0949330711671352,b1024_gpu4_dataloader28
101,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",98.01,19.3,7.8,0.0,35.5,14.5,7.5,61.2,0.0,0.0,0.0,61.0,15.7,0.7029173400477562,b1024_gpu4_dataloader28
102,ImagingPackRGB,65.325,75.9,9.3,4.5,10.5,1.5,2.1,21.7,0.0,0.0,0.0,9.9,7.1,0.4685039816204436,b1024_gpu4_dataloader28
103,__memset_avx2_unaligned_erms,51.08,36.9,35.1,10.3,6.5,1.3,0.0,10.5,0.0,0.0,0.0,20.6,10.7,0.3663403502667012,b1024_gpu4_dataloader28
104,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",42.7,41.1,23.5,0.0,16.6,13.5,22.5,98.4,0.0,0.0,0.0,4.3,9.6,0.30623987776797457,b1024_gpu4_dataloader28
105,ImagingFlipLeftRight,38.875,86.9,4.4,0.0,13.1,1.7,2.1,20.0,0.0,0.0,0.0,6.8,6.1,0.27880738286252954,b1024_gpu4_dataloader28
106,_int_free,13.53,18.4,45.7,13.0,15.4,10.6,18.4,32.7,20.0,0.0,0.0,0.3,0.0,0.09703572707729965,b1024_gpu4_dataloader28
107,__libc_calloc,3.6,9.9,42.0,6.4,30.7,0.0,6.2,20.0,0.0,0.0,0.0,18.7,12.6,0.025818818734536498,b1024_gpu4_dataloader28
